	Ensembl_ID	Gene	Description	Chromosome_Name	Start_Position	End_Position	Strand	Gene_GC_Percent	Biotype	RefSeq_ID	Unigene_ID	Entrez_ID
ENSG00000263326	ENSG00000263326	AC133552.4		16	25071490	25072727	-1	44.83	unprocessed_pseudogene			NA
ENSG00000263327	ENSG00000263327	TAPT1-AS1	TAPT1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:26832]	4	16226685	16320140	1	40.54	antisense_RNA			NA
ENSG00000263328	ENSG00000263328	OR8K1	olfactory receptor family 8 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:14831]	CHR_HG142_HG150_NOVEL_TEST	56346039	56346998	1	39.9	protein_coding	NM_001002907	Hs.553748	390157
ENSG00000263331	ENSG00000263331	AC008551.1		16	21120758	21130108	1	45.04	antisense_RNA			NA
ENSG00000263335	ENSG00000263335	AF001548.2		16	15726674	15732993	1	50.3	antisense_RNA			NA
ENSG00000263338	ENSG00000263338	AC027796.5		17	3577955	3578853	-1	45.27	sense_intronic			NA
ENSG00000263341	ENSG00000263341	KRTAP17-1	keratin associated protein 17-1 [Source:HGNC Symbol;Acc:HGNC:18917]	CHR_HSCHR17_1_CTG4	41314917	41315695	-1	56.1	protein_coding	NM_031964	Hs.307009	83902
ENSG00000263342	ENSG00000263342	AC003688.2		17	7282947	7284071	-1	57.96	antisense_RNA			NA
ENSG00000263343	ENSG00000263343	AC009088.4		16	31165648	31165927	1	56.07	processed_pseudogene			NA
ENSG00000263345	ENSG00000263345	AC006435.2		17	2375061	2379306	-1	57.58	antisense_RNA			NA
ENSG00000263353	ENSG00000263353	PPIAL4A	peptidylprolyl isomerase A like 4A [Source:HGNC Symbol;Acc:HGNC:24369]	1	120889746	120890405	1	46.52	protein_coding	NM_001143883	Hs.573713	653505
ENSG00000263354	ENSG00000263354	MIR5011	microRNA 5011 [Source:HGNC Symbol;Acc:HGNC:43496]	18	67081584	67081686	1	39.81	miRNA			100847002
ENSG00000263355	ENSG00000263355	AKR1B10P2	aldo-keto reductase family 1 member B10 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45063]	18	68455951	68456877	1	43.58	processed_pseudogene			NA
ENSG00000263358	ENSG00000263358	SNORD117	small nucleolar RNA, C/D box 117 [Source:HGNC Symbol;Acc:HGNC:32742]	CHR_HSCHR6_MHC_SSTO_CTG1	31527123	31527198	-1	44.74	snoRNA			692233
ENSG00000263359	ENSG00000263359	SNORD117	small nucleolar RNA, C/D box 117 [Source:HGNC Symbol;Acc:HGNC:32742]	CHR_HSCHR6_MHC_COX_CTG1	31523826	31523901	-1	44.74	snoRNA			692233
ENSG00000263360	ENSG00000263360	RN7SL134P	RNA, 7SL, cytoplasmic 134, pseudogene [Source:HGNC Symbol;Acc:HGNC:46150]	16	82844455	82844757	1	54.79	misc_RNA			NA
ENSG00000263361	ENSG00000263361	MIR378H	microRNA 378h [Source:HGNC Symbol;Acc:HGNC:41744]	5	154829458	154829540	1	51.81	miRNA			100616306
ENSG00000263362	ENSG00000263362	SNORD52	small nucleolar RNA, C/D box 52 [Source:HGNC Symbol;Acc:HGNC:10202]	CHR_HSCHR6_MHC_COX_CTG1	31824440	31824506	1	43.28	snoRNA			26797
ENSG00000263363	ENSG00000263363	MIR5702	microRNA 5702 [Source:HGNC Symbol;Acc:HGNC:43503]	2	226658710	226658793	-1	46.43	miRNA			100847053
ENSG00000263366	ENSG00000263366	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:34043]	22	22114844	22118005	-1	67.65	processed_pseudogene			NA
ENSG00000263367	ENSG00000263367	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	CHR_HSCHR6_MHC_MANN_CTG1	31127920	31128019	1	41	snRNA			NA
ENSG00000263368	ENSG00000263368	AC069366.1		17	27526386	27527223	-1	45.11	processed_pseudogene			NA
ENSG00000263369	ENSG00000263369	AC090616.1		17	32106330	32114125	-1	43.01	transcribed_unprocessed_pseudogene			NA
ENSG00000263370	ENSG00000263370	AC104564.2		17	29639627	29640825	1	47.37	antisense_RNA		Hs.596701	NA
ENSG00000263372	ENSG00000263372	MIR548AO	microRNA 548ao [Source:HGNC Symbol;Acc:HGNC:43539]	8	41271048	41271143	-1	37.5	miRNA			100847068
ENSG00000263375	ENSG00000263375	AC233702.3		17	21592794	21594180	1	60.78	processed_pseudogene			NA
ENSG00000263381	ENSG00000263381	MIR5584	microRNA 5584 [Source:HGNC Symbol;Acc:HGNC:43507]	1	44545493	44545552	1	41.67	miRNA			100847089
ENSG00000263382	ENSG00000263382	AC018371.1		18	26822813	26823979	-1	37.62	lincRNA		Hs.207546	NA
ENSG00000263388	ENSG00000263388	AC002347.2		17	10680734	10683988	1	37.24	antisense_RNA			NA
ENSG00000263389	ENSG00000263389	MIR3973	microRNA 3973 [Source:HGNC Symbol;Acc:HGNC:41756]	11	36010098	36010204	1	46.73	miRNA			100616311
ENSG00000263390	ENSG00000263390	hsa-mir-3119-1	hsa-mir-3119-1 [Source:miRBase;Acc:MI0014134]	1	170151378	170151462	1	34.12	miRNA			NA
ENSG00000263393	ENSG00000263393	AC011825.2		18	32122400	32124478	-1	37.57	antisense_RNA			NA
ENSG00000263394	ENSG00000263394	AC007952.7		17	19091069	19091825	-1	52.44	lincRNA			NA
ENSG00000263396	ENSG00000263396	AP005119.1		18	1357651	1357942	1	50.34	processed_pseudogene			NA
ENSG00000263399	ENSG00000263399	MIR3170	microRNA 3170 [Source:HGNC Symbol;Acc:HGNC:38282]	13	98208524	98208600	1	49.35	miRNA			100422881
ENSG00000263400	ENSG00000263400	TMEM220-AS1	TMEM220 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44357]	17	10729777	10815164	1	47.05	antisense_RNA			101101775
ENSG00000263403	ENSG00000263403	MIR4673	microRNA 4673 [Source:HGNC Symbol;Acc:HGNC:41574]	9	136519568	136519626	-1	71.19	miRNA			100616242
ENSG00000263405	ENSG00000263405	AC068408.1		18	27452514	27453657	-1	44.32	processed_pseudogene			NA
ENSG00000263407	ENSG00000263407	MIR4660	microRNA 4660 [Source:HGNC Symbol;Acc:HGNC:41861]	8	9048445	9048518	1	54.05	miRNA			100616350
ENSG00000263409	ENSG00000263409	MIR4747	microRNA 4747 [Source:HGNC Symbol;Acc:HGNC:41827]	19	4932687	4932740	1	62.96	miRNA			100616337
ENSG00000263410	ENSG00000263410	RN7SL460P	RNA, 7SL, cytoplasmic 460, pseudogene [Source:HGNC Symbol;Acc:HGNC:46476]	X	77885377	77885634	1	55.04	misc_RNA			NA
ENSG00000263412	ENSG00000263412	AC004477.1		17	48045141	48048073	-1	49.4	processed_transcript		Hs.667258	NA
ENSG00000263413	ENSG00000263413	MIR4538	microRNA 4538 [Source:HGNC Symbol;Acc:HGNC:41664]	14	105858165	105858242	-1	61.54	miRNA			100616276
ENSG00000263414	ENSG00000263414	MIR3187	microRNA 3187 [Source:HGNC Symbol;Acc:HGNC:38319]	19	813584	813653	1	70	miRNA			100422854
ENSG00000263417	ENSG00000263417	GTSCR1	Gilles de la Tourette syndrome chromosome region, candidate 1 [Source:HGNC Symbol;Acc:HGNC:18406]	18	70630534	70650744	-1	37.16	lincRNA	NM_001278515	Hs.448217	NA
ENSG00000263418	ENSG00000263418	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	CHR_HSCHR6_MHC_MANN_CTG1	32117921	32118041	-1	50.41	rRNA			NA
ENSG00000263419	ENSG00000263419	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	CHR_HSCHR6_MHC_COX_CTG1	28974068	28974366	1	71.24	misc_RNA			NA
ENSG00000263424	ENSG00000263424	AC110597.3		18	67506589	67514030	1	38.85	antisense_RNA			NA
ENSG00000263426	ENSG00000263426	RN7SL471P	RNA, 7SL, cytoplasmic 471, pseudogene [Source:HGNC Symbol;Acc:HGNC:46487]	6	28977475	28977773	1	71.24	misc_RNA			NA
ENSG00000263427	ENSG00000263427	AC129492.2		17	8056225	8057621	-1	47.1	lincRNA			NA
ENSG00000263429	ENSG00000263429	LINC00675	long intergenic non-protein coding RNA 675 [Source:HGNC Symbol;Acc:HGNC:44356]	17	10794913	10804099	-1	49.77	protein_coding		Hs.306721	NA
ENSG00000263432	ENSG00000263432	RN7SL689P	RNA, 7SL, cytoplasmic 689, pseudogene [Source:HGNC Symbol;Acc:HGNC:46705]	5	123022487	123022783	-1	52.19	misc_RNA			NA
ENSG00000263433	ENSG00000263433	AC069061.1		17	26981694	26982090	1	59.45	processed_pseudogene			NA
ENSG00000263435	ENSG00000263435	AC024610.1		17	33976531	33980851	1	50.22	antisense_RNA			NA
ENSG00000263436	ENSG00000263436	MIR3158-1	microRNA 3158-1 [Source:HGNC Symbol;Acc:HGNC:38196]	10	101601417	101601497	1	56.79	miRNA			100422900, 100423033
ENSG00000263438	ENSG00000263438	LINC01919	long intergenic non-protein coding RNA 1919 [Source:HGNC Symbol;Acc:HGNC:52739]	18	53568447	53597851	1	35.9	lincRNA		Hs.123442	102724651
ENSG00000263439	ENSG00000263439	MIR4753	microRNA 4753 [Source:HGNC Symbol;Acc:HGNC:41527]	1	235190034	235190116	-1	38.55	miRNA			100616224
ENSG00000263442	ENSG00000263442	SNORD84	small nucleolar RNA, C/D box 84 [Source:HGNC Symbol;Acc:HGNC:32743]	CHR_HSCHR6_MHC_SSTO_CTG1	31531850	31531927	-1	47.44	snoRNA			692199
ENSG00000263443	ENSG00000263443	AC100872.1		8	122700269	122703423	-1	42.66	lincRNA			NA
ENSG00000263445	ENSG00000263445	MIR4450	microRNA 4450 [Source:HGNC Symbol;Acc:HGNC:41725]	4	76573568	76573632	1	58.46	miRNA			100616299
ENSG00000263450	ENSG00000263450	AC090371.1		18	32954075	32957998	1	33.66	antisense_RNA		Hs.276357	NA
ENSG00000263453	ENSG00000263453	MIR4532	microRNA 4532 [Source:HGNC Symbol;Acc:HGNC:41869]	20	57895394	57895444	1	66.67	miRNA			100616353
ENSG00000263456	ENSG00000263456	MIR5189	microRNA 5189 [Source:HGNC Symbol;Acc:HGNC:43515]	16	88468918	88469031	1	67.54	miRNA			100847057
ENSG00000263458	ENSG00000263458	MIR4455	microRNA 4455 [Source:HGNC Symbol;Acc:HGNC:41536]	4	184938383	184938440	-1	41.38	miRNA			100616111
ENSG00000263460	ENSG00000263460	BOD1P1	biorientation of chromosomes in cell division 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51435]	18	3415145	3415580	1	56.19	transcribed_processed_pseudogene			NA
ENSG00000263464	ENSG00000263464	PPIAL4C	peptidylprolyl isomerase A like 4C [Source:HGNC Symbol;Acc:HGNC:33995]	1	149583865	149584464	1	48.33	protein_coding	NM_001135789		653598
ENSG00000263465	ENSG00000263465	SRSF8	serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]	11	95067197	95071224	1	43.87	protein_coding	NM_032102, 	Hs.476680	10929
ENSG00000263466	ENSG00000263466	AC006441.1		17	38903704	38904600	-1	42.81	antisense_RNA			NA
ENSG00000263467	ENSG00000263467	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	CHR_HSCHR6_MHC_DBB_CTG1	31076788	31076887	1	41	snRNA			NA
ENSG00000263468	ENSG00000263468	hsa-mir-3130-1	hsa-mir-3130-1 [Source:miRBase;Acc:MI0014147]	2	206783234	206783308	1	54.67	miRNA			NA
ENSG00000263474	ENSG00000263474	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	CHR_HSCHR6_MHC_MCF_CTG1	31161534	31161633	1	41	snRNA			NA
ENSG00000263476	ENSG00000263476	MIR3156-1	microRNA 3156-1 [Source:HGNC Symbol;Acc:HGNC:38241]	10	45164014	45164088	1	42.67	miRNA			100422988
ENSG00000263477	ENSG00000263477	AC104982.2		17	29863402	29866092	1	39.17	antisense_RNA			NA
ENSG00000263479	ENSG00000263479	RN7SL509P	RNA, 7SL, cytoplasmic 509, pseudogene [Source:HGNC Symbol;Acc:HGNC:46525]	6	96914699	96914995	-1	53.2	misc_RNA			NA
ENSG00000263482	ENSG00000263482	ANTXRLP1	anthrax toxin receptor-like pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45004]	10	46233885	46273557	-1	49.2	unprocessed_pseudogene			NA
ENSG00000263483	ENSG00000263483	MTATP6P3	mitochondrially encoded ATP synthase 6 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44577]	17	22529934	22530609	1	43.2	unprocessed_pseudogene			NA
ENSG00000263485	ENSG00000263485	AC004147.1		17	34080882	34082224	-1	42.81	sense_intronic		Hs.652627	NA
ENSG00000263489	ENSG00000263489	AC127029.2		17	63972920	63989422	-1	53.64	lincRNA		Hs.579069	NA
ENSG00000263490	ENSG00000263490	RN7SL155P	RNA, 7SL, cytoplasmic 155, pseudogene [Source:HGNC Symbol;Acc:HGNC:46171]	19	18631646	18631908	-1	55.51	misc_RNA			NA
ENSG00000263491	ENSG00000263491	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	CHR_HSCHR6_MHC_DBB_CTG1	28977485	28977783	1	71.24	misc_RNA			NA
ENSG00000263494	ENSG00000263494	AC004702.1		17	20185082	20322973	1	43.2	lincRNA			NA
ENSG00000263499	ENSG00000263499	AC007431.1		17	57600856	57608412	-1	51.57	antisense_RNA		Hs.680439	101927539
ENSG00000263501	ENSG00000263501	AC005828.2		17	63305262	63313521	-1	36.57	antisense_RNA			NA
ENSG00000263503	ENSG00000263503	MAPK8IP1P2	mitogen-activated protein kinase 8 interacting protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52402]	17	45600869	45602340	-1	60.87	processed_pseudogene			NA
ENSG00000263505	ENSG00000263505	AP005265.1		18	1159198	1160404	-1	43.33	processed_pseudogene			NA
ENSG00000263508	ENSG00000263508	AC015908.2		17	10849541	10880895	1	43.82	lincRNA		Hs.551221, Hs.737747	NA
ENSG00000263510	ENSG00000263510	MIR4497	microRNA 4497 [Source:HGNC Symbol;Acc:HGNC:41737]	12	109833348	109833436	1	83.15	miRNA			100616454
ENSG00000263511	ENSG00000263511	MIR5699	microRNA 5699 [Source:HGNC Symbol;Acc:HGNC:43456]	10	641689	641778	-1	57.78	miRNA			100847086
ENSG00000263512	ENSG00000263512	MIR4311	microRNA 4311 [Source:HGNC Symbol;Acc:HGNC:38207]	15	66040233	66040332	1	57	miRNA			100422905
ENSG00000263513	ENSG00000263513	FAM72C	family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]	1	143955364	143971965	-1	40.18	protein_coding	NM_001287385, 		554282
ENSG00000263514	ENSG00000263514	MIR3668	microRNA 3668 [Source:HGNC Symbol;Acc:HGNC:38982]	6	140205252	140205326	1	21.33	miRNA			100500879
ENSG00000263515	ENSG00000263515	MIR548AN	microRNA 548an [Source:HGNC Symbol;Acc:HGNC:41681]	X	106639814	106639896	1	38.55	miRNA			100616144
ENSG00000263517	ENSG00000263517	SNORA48	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	CHR_HSCHR6_MHC_MCF_CTG1	30211301	30211463	-1	45.4	snoRNA			NA
ENSG00000263520	ENSG00000263520	LINC02563	long intergenic non-protein coding RNA 2563 [Source:HGNC Symbol;Acc:HGNC:52923]	17	65457541	65458408	1	53.57	lincRNA			105827617
ENSG00000263526	ENSG00000263526	MIR378G	microRNA 378g [Source:HGNC Symbol;Acc:HGNC:41785]	1	94745860	94745900	-1	63.41	miRNA			100616321
ENSG00000263527	ENSG00000263527	MIR4526	microRNA 4526 [Source:HGNC Symbol;Acc:HGNC:41618]	18	13611114	13611200	1	65.52	miRNA			100616130
ENSG00000263528	ENSG00000263528	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]	1	206470476	206496889	1	53.36	protein_coding	, NM_001193322, NM_001193321, NM_014002	Hs.321045	9641
ENSG00000263529	ENSG00000263529	RN7SL122P	RNA, 7SL, cytoplasmic 122, pseudogene [Source:HGNC Symbol;Acc:HGNC:46138]	1	32457835	32458135	1	52.82	misc_RNA			NA
ENSG00000263531	ENSG00000263531	AC130324.1		17	30863921	30864940	-1	42.84	antisense_RNA			NA
ENSG00000263533	ENSG00000263533	MIR4463	microRNA 4463 [Source:HGNC Symbol;Acc:HGNC:41665]	6	75428407	75428473	1	46.27	miRNA			100616389
ENSG00000263535	ENSG00000263535	AC134669.1		17	31345519	31346190	1	49.85	processed_pseudogene			NA
ENSG00000263537	ENSG00000263537	RN7SL387P	RNA, 7SL, cytoplasmic 387, pseudogene [Source:HGNC Symbol;Acc:HGNC:46403]	12	110625645	110625917	-1	53.48	misc_RNA			NA
ENSG00000263540	ENSG00000263540	MIR5582	microRNA 5582 [Source:HGNC Symbol;Acc:HGNC:43461]	11	46753125	46753192	-1	32.35	miRNA			100847020
ENSG00000263547	ENSG00000263547	AC011095.1		18	76122998	76145255	1	42.89	processed_transcript		Hs.151215	339298
ENSG00000263551	ENSG00000263551	AP005328.1		18	976589	1174823	1	38.36	lincRNA		Hs.569886	NA
ENSG00000263553	ENSG00000263553	AC022884.1		18	24673163	24674348	1	42.41	lincRNA		Hs.579531	NA
ENSG00000263556	ENSG00000263556	RN7SL383P	RNA, 7SL, cytoplasmic 383, pseudogene [Source:HGNC Symbol;Acc:HGNC:46399]	5	44716193	44716486	1	51.02	misc_RNA			NA
ENSG00000263558	ENSG00000263558	RN7SL716P	RNA, 7SL, cytoplasmic 716, pseudogene [Source:HGNC Symbol;Acc:HGNC:46732]	17	59059226	59059493	1	51.12	misc_RNA			NA
ENSG00000263561	ENSG00000263561	MIR4704	microRNA 4704 [Source:HGNC Symbol;Acc:HGNC:41602]	13	66218250	66218324	1	41.33	miRNA			100616205
ENSG00000263563	ENSG00000263563	UBBP4	ubiquitin B pseudogene 4 [Source:NCBI gene;Acc:23666]	17	22202995	22205154	1	50.05	transcribed_unprocessed_pseudogene			23666
ENSG00000263567	ENSG00000263567	AC007923.1		17	31762440	31769048	1	45.92	lincRNA			NA
ENSG00000263571	ENSG00000263571	AC004147.2		17	34155566	34165679	1	47.77	lincRNA			NA
ENSG00000263572	ENSG00000263572	MIR7853	microRNA 7853 [Source:HGNC Symbol;Acc:HGNC:49933]	6	6169304	6169435	-1	46.97	miRNA			102466866
ENSG00000263573	ENSG00000263573	MIR4270	microRNA 4270 [Source:HGNC Symbol;Acc:HGNC:38377]	3	15496239	15496308	-1	54.29	miRNA			100422868
ENSG00000263574	ENSG00000263574	AC125421.1		17	73737854	73756557	1	52.8	lincRNA	NM_001278587	Hs.694655	NA
ENSG00000263575	ENSG00000263575	MIR4665	microRNA 4665 [Source:HGNC Symbol;Acc:HGNC:41696]	9	6007826	6007904	1	77.22	miRNA			100616288
ENSG00000263581	ENSG00000263581	MIR548X2	microRNA 548x-2 [Source:HGNC Symbol;Acc:HGNC:41734]	13	65966330	65966429	-1	34	miRNA			100616302
ENSG00000263583	ENSG00000263583	MIR4522	microRNA 4522 [Source:HGNC Symbol;Acc:HGNC:41668]	17	27293910	27293996	-1	71.26	miRNA			100616277
ENSG00000263584	ENSG00000263584	MIR4480	microRNA 4480 [Source:HGNC Symbol;Acc:HGNC:41716]	10	12578753	12578823	1	53.52	miRNA			100616151
ENSG00000263585	ENSG00000263585	AC145207.4		17	81932398	81933058	1	58.4	antisense_RNA			NA
ENSG00000263586	ENSG00000263586	HID1-AS1	HID1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51181]	17	74970704	74975728	1	56.74	antisense_RNA			102723641
ENSG00000263588	ENSG00000263588	AC091043.1		18	22088060	22098780	1	45.74	lincRNA		Hs.737202	NA
ENSG00000263589	ENSG00000263589	SNORA48	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]	CHR_HSCHR6_MHC_MANN_CTG1	30177929	30178090	-1	45.68	snoRNA			NA
ENSG00000263590	ENSG00000263590	AC239800.3		1	143790010	143797108	1	53.06	lincRNA			NA
ENSG00000263593	ENSG00000263593	MIR4804	microRNA 4804 [Source:HGNC Symbol;Acc:HGNC:41720]	5	72878591	72878663	1	45.21	miRNA			100616152
ENSG00000263594	ENSG00000263594	AC022655.1		18	67672221	67676078	-1	35.67	lincRNA		Hs.130130	NA
ENSG00000263595	ENSG00000263595	RN7SL823P	RNA, 7SL, cytoplasmic 823, pseudogene [Source:HGNC Symbol;Acc:HGNC:46839]	19	16910490	16910784	-1	53.22	misc_RNA			NA
ENSG00000263597	ENSG00000263597	MIR3936	microRNA 3936 [Source:HGNC Symbol;Acc:HGNC:38947]	5	132365490	132365599	-1	51.82	miRNA			100500865
ENSG00000263598	ENSG00000263598	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	CHR_HSCHR6_MHC_MCF_CTG1	28915807	28915906	1	41	snRNA			NA
ENSG00000263600	ENSG00000263600	MIR3915	microRNA 3915 [Source:HGNC Symbol;Acc:HGNC:38955]	X	32583656	32583752	-1	36.08	miRNA			100500915
ENSG00000263602	ENSG00000263602	MIR3185	microRNA 3185 [Source:HGNC Symbol;Acc:HGNC:38391]	17	48724408	48724475	-1	63.24	miRNA			100422978
ENSG00000263603	ENSG00000263603	AC127024.2		17	30729469	30731202	1	54.04	lincRNA		Hs.649845	NA
ENSG00000263604	ENSG00000263604	AC015688.1		17	27683946	27684144	-1	60.8	processed_pseudogene			NA
ENSG00000263606	ENSG00000263606	AP000919.1		18	2945550	2946890	-1	40.49	transcribed_processed_pseudogene			NA
ENSG00000263608	ENSG00000263608	RN7SL353P	RNA, 7SL, cytoplasmic 353, pseudogene [Source:HGNC Symbol;Acc:HGNC:46369]	6	30751038	30751289	1	56.75	misc_RNA			NA
ENSG00000263609	ENSG00000263609	LINC02002	long intergenic non-protein coding RNA 2002 [Source:HGNC Symbol;Acc:HGNC:52837]	17	22234328	22266362	-1	35	lincRNA		Hs.645950	NA
ENSG00000263610	ENSG00000263610	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]	CHR_HSCHR6_MHC_SSTO_CTG1	30728556	30728666	-1	37.84	misc_RNA			NA
ENSG00000263611	ENSG00000263611	AC068408.2		18	27397952	27401904	1	37.62	lincRNA			NA
ENSG00000263612	ENSG00000263612	AF186192.3		8	144713899	144714845	1	54.38	lincRNA			NA
ENSG00000263613	ENSG00000263613	AC024619.2		17	29009799	29011009	-1	50.78	antisense_RNA		Hs.742338	NA
ENSG00000263615	ENSG00000263615	MIR4306	microRNA 4306 [Source:HGNC Symbol;Acc:HGNC:38350]	13	99643059	99643149	1	49.45	miRNA			100422861
ENSG00000263616	ENSG00000263616	RN7SL178P	RNA, 7SL, cytoplasmic 178, pseudogene [Source:HGNC Symbol;Acc:HGNC:46194]	8	8582352	8582655	-1	57.57	misc_RNA			NA
ENSG00000263618	ENSG00000263618	AP005121.1		18	14903580	14915628	1	41.32	lincRNA		Hs.734340	NA
ENSG00000263620	ENSG00000263620	AC129492.3		17	8150816	8162975	-1	56.11	protein_coding			NA
ENSG00000263622	ENSG00000263622	AC023394.1		18	65917782	65920942	-1	34.23	lincRNA			NA
ENSG00000263624	ENSG00000263624	AC055811.1		17	17167946	17185554	-1	52.8	antisense_RNA			NA
ENSG00000263625	ENSG00000263625	SNORD117	small nucleolar RNA, C/D box 117 [Source:HGNC Symbol;Acc:HGNC:32742]	CHR_HSCHR6_MHC_MCF_CTG1	31612723	31612798	-1	44.74	snoRNA			692233
ENSG00000263627	ENSG00000263627	PPP4R1-AS1	PPP4R1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51112]	18	9615264	9619363	1	42.71	lincRNA			101927323
ENSG00000263628	ENSG00000263628	MIR3155A	microRNA 3155a [Source:HGNC Symbol;Acc:HGNC:38245]	10	6152196	6152277	1	65.85	miRNA			100422989
ENSG00000263629	ENSG00000263629	MIR5586	microRNA 5586 [Source:HGNC Symbol;Acc:HGNC:43493]	14	59646962	59647020	-1	38.98	miRNA			100847088
ENSG00000263631	ENSG00000263631	MIR378D1	microRNA 378d-1 [Source:HGNC Symbol;Acc:HGNC:41550]	4	5923275	5923328	-1	40.74	miRNA			100616201
ENSG00000263634	ENSG00000263634	MIR3919	microRNA 3919 [Source:HGNC Symbol;Acc:HGNC:38890]	3	159282646	159282734	1	43.82	miRNA			100500803
ENSG00000263635	ENSG00000263635	AP005242.1		18	15075445	15122767	1	34.49	lincRNA		Hs.574472	NA
ENSG00000263637	ENSG00000263637	AC022035.1		18	68753179	68754583	-1	37.3	antisense_RNA			NA
ENSG00000263638	ENSG00000263638	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	CHR_HSCHR6_MHC_SSTO_CTG1	31747708	31747810	-1	46.6	snRNA			NA
ENSG00000263639	ENSG00000263639	MSMB	microseminoprotein beta [Source:HGNC Symbol;Acc:HGNC:7372]	10	46033307	46046269	-1	45.04	protein_coding	NM_002443, NM_138634		4477
ENSG00000263641	ENSG00000263641	MIR4777	microRNA 4777 [Source:HGNC Symbol;Acc:HGNC:41773]	2	231362708	231362793	1	29.07	miRNA			100616317
ENSG00000263642	ENSG00000263642	MIR4802	microRNA 4802 [Source:HGNC Symbol;Acc:HGNC:41658]	4	40502040	40502119	-1	47.5	miRNA			100616274
ENSG00000263643	ENSG00000263643	MIR4515	microRNA 4515 [Source:HGNC Symbol;Acc:HGNC:41800]	15	83067335	83067415	1	71.6	miRNA			100616404
ENSG00000263644	ENSG00000263644	AC005828.3		17	63391191	63431089	-1	43.82	antisense_RNA			NA
ENSG00000263647	ENSG00000263647	BPTFP1	bromodomain PHD finger transcription factor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52869]	17	64761912	64762710	-1	38.8	unprocessed_pseudogene			NA
ENSG00000263648	ENSG00000263648	AC005244.1		17	12115547	12115885	1	43.95	processed_pseudogene			NA
ENSG00000263649	ENSG00000263649	MIR3135B	microRNA 3135b [Source:HGNC Symbol;Acc:HGNC:41783]	6	32749912	32749979	-1	63.24	miRNA			100616218
ENSG00000263652	ENSG00000263652	MIR548AX	microRNA 548ax [Source:HGNC Symbol;Acc:HGNC:43528]	X	11318614	11318686	-1	39.73	miRNA			100847063
ENSG00000263655	ENSG00000263655	AC090125.1		18	73914405	74034161	-1	41.93	lincRNA			NA
ENSG00000263657	ENSG00000263657	AC023389.1		17	29761103	29787836	1	41.19	antisense_RNA			NA
ENSG00000263666	ENSG00000263666	SNORA70D	small nucleolar RNA, H/ACA box 70D [Source:HGNC Symbol;Acc:HGNC:34356]	16	71698567	71698701	-1	53.33	snoRNA		Hs.725116	100379141
ENSG00000263667	ENSG00000263667	AL035696.3		6	181466	205484	-1	47.06	lincRNA		Hs.657946	285766
ENSG00000263669	ENSG00000263669	RN7SL470P	RNA, 7SL, cytoplasmic 470, pseudogene [Source:HGNC Symbol;Acc:HGNC:46486]	2	70075014	70075272	-1	58.3	misc_RNA			NA
ENSG00000263670	ENSG00000263670	MIR4457	microRNA 4457 [Source:HGNC Symbol;Acc:HGNC:41554]	5	1309310	1309377	-1	42.65	miRNA			100616235
ENSG00000263671	ENSG00000263671	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	CHR_HSCHR6_MHC_MANN_CTG1	30795686	30795937	1	56.75	misc_RNA			NA
ENSG00000263672	ENSG00000263672	RN7SL750P	RNA, 7SL, cytoplasmic 750, pseudogene [Source:HGNC Symbol;Acc:HGNC:46766]	7	100821027	100821264	-1	58.4	misc_RNA			NA
ENSG00000263674	ENSG00000263674	AC026620.1		17	32280387	32280953	-1	55.03	antisense_RNA		Hs.585056	NA
